dessert,synonym
Chocolate Cake,chocolate cake
Ice Cream,ice cream
Tiramisu,tiramisu
Cheesecake,cheesecake
Apple Pie,apple pie
Cookies And Cream,cookies & cream
Peanut Butter Cup,pb cup
Chocolate Chip Cookie,chocolate chip
Vanilla Ice Cream,vanilla
Chocolate Ice Cream,chocolate
Donut,donut
Donut,doughnut
Glazed Donut,glazed donut
Apple Fritter,apple fritter
Malasada,malasada
Cruller,cruller
Chocolate Cruller,chocolate cruller
Maple Cruller,maple cruller
Old Fashioned Donut,old fashioned donut
Crumb Donut,crumb donut
Donut Holes,donut holes
Strawberry Malasada,strawberry malasada
Maple Bar,maple bar
Bear Claw,bear claw
Cinnamon Roll,cinnamon roll
Croissant,croissant
Danish,danish
Muffin,muffin
Scone,scone
Bagel,bagel